movieRank,movieName,moviePic,starNum,quoteNum,movieDes
1,肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.6,956948人评价,希望让人自由。
2,霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,9.5,693641人评价,风华绝代。
3,这个杀手不太冷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,9.4,905324人评价,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,9.4,769883人评价,一部美国近现代史。
5,美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,9.5,449914人评价,最美的谎言。
6,千与千寻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910830216.jpg,9.2,719767人评价,最好的宫崎骏，最好的久石让。 
7,泰坦尼克号,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,9.2,710699人评价,失去的才是永恒的。 
8,辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,9.4,411589人评价,拯救一个人，就是拯救整个世界。
9,盗梦空间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9.3,815043人评价,诺兰给了我们一场无法盗取的梦。
10,机器人总动员,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449665982.jpg,9.3,533924人评价,小瓦力，大人生。
11,海上钢琴师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,9.2,632481人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,三傻大闹宝莱坞,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,9.1,725997人评价,英俊版憨豆，高情商版谢耳朵。
13,忠犬八公的故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,9.2,497392人评价,永远都不能忘记你所爱的人。
14,放牛班的春天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,9.2,486955人评价,天籁一般的童声，是最接近上帝的存在。 
15,大话西游之大圣娶亲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,9.2,529708人评价,一生所爱。
16,教父,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,9.2,367743人评价,千万不要记恨你的对手，这样会让你失去理智。
17,龙猫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456668316.jpg,9.1,449682人评价,人人心中都有个龙猫，童年就永远不会消失。
18,楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.1,497055人评价,如果再也不能见到你，祝你早安，午安，晚安。
19,乱世佳人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,9.2,287551人评价,Tomorrow is another day.
20,熔炉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,9.2,288305人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,触不可及,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,9.1,393529人评价,满满温情的高雅喜剧。
22,天堂电影院,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,9.1,326516人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
23,当幸福来敲门,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,8.9,576991人评价,平民励志片。 
24,无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,9.0,432062人评价,香港电影史上永不过时的杰作。
25,星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,9.1,524773人评价,爱是一种力量，让我们超越时空感知它的存在。
26,怦然心动,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,8.9,594947人评价,真正的幸福是来自内心深处。
27,十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,9.4,182579人评价,1957年的理想主义。 
28,搏击俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,9.0,421636人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
29,少年派的奇幻漂流,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,9.0,613854人评价,瑰丽壮观、无人能及的冒险之旅。
30,指环王3：王者无敌,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,9.1,302023人评价,史诗的终章。
31,鬼子来了,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,9.2,246455人评价,对敌人的仁慈，就是对自己残忍。
32,蝙蝠侠：黑暗骑士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,9.0,346752人评价,无尽的黑暗。
33,天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,9.0,353380人评价,对天空的追逐，永不停止。 
34,活着,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173575484.jpg,9.1,289578人评价,张艺谋最好的电影。
35,罗马假日,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,8.9,408744人评价,爱情哪怕只有一天。
36,大话西游之月光宝盒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,8.9,427200人评价,旷古烁今。
37,飞屋环游记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,8.9,529246人评价,最后那些最无聊的事情，才是最值得怀念的。 
38,两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,9.1,286838人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
39,窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,9.1,237221人评价,别样人生。
40,飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,9.0,290483人评价,自由万岁。
